['https://c.tenor.com/ACY8p5PGy5cAAAAC/mao-mao-zedong.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/zselVkj2y_wAAAAC/stare-what-do-you-want.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/xOP93GYeAy0AAAAC/ryan-gosling-breathing.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/wMUufOeRRLsAAAAC/aa.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/iMPZD8Zg82QAAAAC/ok-and-mc-ride.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/moRf-LDdeG4AAAAd/mcride-no.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/795238875677065228/855063181285392414/caption.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/e7QUaJZvBiUAAAAd/weiner-hotdog.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/kmVfgTLpb4sAAAAd/rip-bozo-smoking.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/795238875677065228/848196875488460830/caption.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/795238875677065228/848123440464789514/caption.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/Ed8FuKVA_GgAAAAC/wwe-vince-mc-mahon.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/-9Rw--2ntDMAAAAC/epic-link-perm-fail.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/do8q_eYrsW4AAAAd/crying-black-guy-meme.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/9CkkuOW5428AAAAC/monday-typing-monkey.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/_bTaLmoLSc4AAAAd/troll-pilled.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/HMPL-ZhAuYUAAAAC/xqc-slam.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/wOoX8VmYClEAAAAC/gypsy-crusader.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/wNDGI-Ls1cIAAAAd/pog-clown.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/RDQPH421sd4AAAAd/processing-esmbot.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/795238875677065228/837922193258053632/caption.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/712243005519560736/836763735531192370/tom_cry_about_it.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/795238875677065228/827168255948226581/caption.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/kChVtQVrWXQAAAAC/bloons-btd6.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/BxqiH-xuV2IAAAAd/charles-manson-nobody.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/RiHiEx9u-r0AAAAC/cat-hug.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/b7swbvaVKhUAAAAC/seriously-laugh.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/Z16VqeUJGj8AAAAC/crying-wahh.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/795238875677065228/824109367392862219/caption.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/795238875677065228/823755865454280724/caption.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/7AwjWqNZt9QAAAAC/thanks-thank-you.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://c.tenor.com/YFH8r7l0IX0AAAAd/walter-white-falling.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/795238875677065228/821714910546886667/caption.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/795238875677065228/821714552169299968/caption.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/795238875677065228/821714310178799626/wdt.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/795238875677065228/821713332952236072/caption.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/795238875677065228/821713051694006272/caption.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/745789186237399121/821712545835778048/200_1.gif', '868888972120702996', '868888972120702999', '179894333275766784']
['https://media.discordapp.net/attachments/745789186237399121/821712532863320084/giphy.gif', '868888972120702996', '868888972120702999', '179894333275766784']
